Time [],C1.V [],L1.I []
0.00041,11.90370094,2.56377894
0.0004101,11.904533,2.563970706
0.0004106,11.90869537,2.564883752
0.0004116,11.91702189,2.56662658
0.0004126,11.92534815,2.568202879
0.0004136,11.93366662,2.569612731
0.0004146,11.94196985,2.570856367
0.0004149,11.9444569,2.571197086
0.000415,11.94528544,2.571307344
0.0004151,11.94611372,2.571415945
0.0004156,11.95024699,2.571913475
0.0004166,11.95849678,2.572826037
0.0004176,11.96670948,2.573573975
0.0004186,11.974878,2.5741581
0.0004196,11.98299533,2.574579367
0.0004199,11.98541967,2.574674121
0.00042,11.9862266,2.574702475
0.0004201,11.98703292,2.574729216
0.0004206,11.99104677,2.574818748
0.0004216,11.99904039,2.574917876
0.0004226,12.00696255,2.574857847
0.0004236,12.01480673,2.574640154
0.0004246,12.02256655,2.574266421
0.0004249,12.02487724,2.57412409
0.000425,12.02564564,2.574073567
0.0004251,12.0264131,2.574021508
0.0004256,12.03022388,2.573719269
0.0004266,12.03779558,2.573039075
0.0004276,12.04526457,2.572208473
0.0004286,12.05262502,2.571229578
0.0004296,12.05987127,2.570104615
0.0004299,12.06202217,2.569738935
0.00043,12.06273672,2.569614175
0.0004301,12.06345005,2.569487989
0.0004306,12.06698236,2.568818165
0.0004316,12.07398312,2.56740851
0.0004326,12.0808536,2.565860143
0.0004336,12.08758877,2.564175719
0.0004346,12.09418375,2.562357994
0.0004349,12.09613431,2.56178704
0.000435,12.09678158,2.561594124
0.0004351,12.09742738,2.561399915
0.0004356,12.10061535,2.560393761
0.0004366,12.10691549,2.558318453
0.0004376,12.11306189,2.556118679
0.0004386,12.11905038,2.553797557
0.0004396,12.12487698,2.551358283
0.0004399,12.1265929,2.550603874
0.00044,12.12716154,2.550350119
0.0004401,12.12772852,2.550095229
0.0004406,12.13051685,2.54879006
0.0004416,12.13600798,2.546124812
0.0004426,12.14132638,2.543351468
0.0004436,12.14646879,2.540473517
0.0004446,12.15143215,2.537494507
0.0004449,12.15288587,2.536581554
0.000445,12.15336679,2.536275301
0.0004451,12.15384589,2.535968088
0.0004456,12.15619061,2.534406182
0.0004466,12.16078714,2.531236404
0.0004476,12.1651966,2.527976567
0.0004486,12.1694167,2.524630434
0.0004496,12.17344533,2.521201814
0.0004499,12.17461633,2.52015763
0.00045,12.17500279,2.51980801
0.0004501,12.17538731,2.51945762
0.0004506,12.17725626,2.517685057
0.0004516,12.18089621,2.514103532
0.0004526,12.18433957,2.510451175
